-0.397881,25,0.2086274,0.01083238,-818.8154,0.007502851,2.326886,1
0.9340876,9,0.09082814,0.02264151,-406.071,0.01174004,4.163332,1
-0.5968095,3,0.01739378,0.008067769,-20.08115,0.006319752,6.128259,0
-4.361573,4,0.01650433,0.006993007,-564.5812,0.006118881,2.277608,0
-0.360346,53,0.5664787,0.01140901,-2676.775,0.009342475,2.191118,1
-3.270488,5,0.06235294,0.008635579,-11.29536,0.007772021,1.095445,0
-3.882899,8,0.04823151,0.008296107,-1163.052,0.005025527,3.099899,0
0.9807165,115,0.5114304,0.008784096,-8543.285,0.005652375,1.521217,1
4.028264,3,0.03033839,0.02407705,-3.55981,0.01551632,4.988876,0
-17.35402,3,0.02523524,0.01502404,0,0.01121795,4.642796,0
7.907163,4,0.03250642,0.02223558,-1793.909,0.01262019,15.50806,0
-3.613881,4,0.04567308,0.0106929,-3.564066,0.007805817,3.897114,1
-10.70401,8,0.0390625,0.005988024,-615.1313,0.005292986,1.316957,0
-0.6693128,29,0.2235577,0.00855432,-821.8065,0.006504233,1.398997,1
-1.818303,4,0.0295124,0.004206731,-4.091115,0.003605769,0.7071068,0
0.6413439,31,0.09375,0.005560308,-325.6008,0.0050912,0.776877,1
0.6902772,29,0.1201923,0.00855432,-516.8569,0.00591428,2.290444,1
8.972627,5,0.02824519,0.0106929,-48.00541,0.00829769,4.586938,0
-1.952509,3,0.02053037,0.02163462,-14.48317,0.01201923,11.34313,0
3.012787,5,0.05288462,0.01283148,-112.4254,0.008639863,8.13388,1
-0.4667577,34,0.2247596,0.0106929,-4439.901,0.006604438,2.952478,1
1.641786,12,0.1430288,0.009837468,-406.811,0.008768178,2.629956,1
1.363927,18,0.1460337,0.00855432,-1392.468,0.006463264,2.726188,1
-26.89624,3,0.02352438,0.02764423,-54.84497,0.01422276,15.79733,0
0.9525737,22,0.2061298,0.008982036,-1359.063,0.007679446,2.930673,1
-11.23694,6,0.04867788,0.008126604,-473.5295,0.005275164,3.901567,0
-1.075851,6,0.05709135,0.009837468,-30.11118,0.007271172,2.886751,1
6.164053,7,0.05517536,0.01382212,-1833.752,0.009701236,6.379175,0
0.5882317,39,0.2184927,0.01195952,-4596.193,0.006840752,3.131146,1
-7.62815,5,0.04387019,0.007839722,-97.47592,0.006707317,3.322649,1
0.3764452,37,0.359375,0.01132404,-7368.313,0.008075148,3.908374,1
19.47658,4,0.02507122,0.03218021,-4892.049,0.01709574,12.15267,0
-0.4814658,6,0.09542903,0.009116809,-16.6074,0.008547009,1,1
0.7976784,109,0.4867257,0.008601177,-40832.97,0.005839331,2.380906,1
1.952509,4,0.02812242,0.01139089,-1.50445,0.008693046,2.598076,1
0.6623495,75,0.7015306,0.0118624,-34460.64,0.008952155,3.047068,1
1.84761,16,0.09059233,0.01141827,-9473.212,0.008451021,3.749479,0
-5.194429,4,0.04770532,0.01111111,-21.59016,0.008226496,3.897114,1
0.4565304,71,0.6576087,0.01068376,-2931.895,0.008185867,0.9735645,1
0,3,0.03125,0.006533101,0,0.005952381,0.942809,1
-0.6554045,36,0.4759615,0.01350174,-2888.413,0.01045296,3.749074,1
0,5,0.07291666,0.01401401,0,0.01101101,1.549193,1
4.32506,7,0.09647059,0.03589744,-113.8224,0.02820513,5.928141,0
0,4,0.01818182,0.01018809,0,0.009600313,0.4330127,1
-43.62517,4,0.03125,0.01720184,-182.2402,0.01261468,9.486833,0
7.594643,4,0.02795208,0.01333333,-208.0262,0.01058824,2.5,0
-8.365886,3,0.01112062,0.008067769,0,0.005512976,4.496912,0
3.576334,4,0.03192641,0.00932401,-150.677,0.007381507,4.41588,0
-0.4789504,60,0.5680903,0.01140901,-2881.669,0.009478988,2.345859,1
0.4855458,6,0.04749568,0.01411765,-10.77817,0.01196078,1.34371,1
0.9856366,112,0.492023,0.01056015,-9755.311,0.005911387,1.978117,1
-4.594253,4,0.0198798,0.007184846,-11.83398,0.005062051,2.772634,0
0,4,0.07062601,0.008168028,0,0.007584597,0.5,1
-26.56505,3,0.01710864,0.01262019,-12.8,0.008413462,4.966555,0
1.070825,3,0.02865697,0.01141827,-54.13062,0.01141827,0,0
-0.4620527,9,0.0751202,0.006843456,-5.793458,0.006795932,0.3142697,1
0.09938547,73,0.5132211,0.01026518,-25881.81,0.007095398,3.06476,1
-0.4533696,68,0.5132211,0.008982036,-2421.127,0.006610728,1.951122,1
1.11601,12,0.06189904,0.00855432,-22.15452,0.007627602,2.511086,1
-1.77147,5,0.03550043,0.01081731,-32.39966,0.006730769,5.418487,0
0.2652563,20,0.09975962,0.008126604,-1293.64,0.005838323,2.434646,1
24.34109,3,0.0132592,0.02223558,-179.6612,0.01081731,13.49074,0
-13.91249,3,0.03849444,0.02824519,0,0.02203526,7.318166,0
-9.372092,5,0.02737382,0.015625,-146.641,0.009134616,7.782031,0
-0.2293654,104,0.5600961,0.009409752,-19983.3,0.006164868,2.238692,1
0.7727286,32,0.2578125,0.01026518,-1278.115,0.008300364,3.090908,1
0.7690247,41,0.2139423,0.00855432,-688.7826,0.006175802,2.012749,1
5.52754,4,0.05829327,0.01283148,-42.58144,0.01176219,3.774917,1
